0km,1km,2km,3km,MBL,position
668,452,419,447,1272,0
665,450,421,441,300,0
664,451,420,448,300,0.118592
667,450,416,300,300,-1
666,448,418,443,300,0.203387
662,448,416,300,300,-1
664,444,414,441,300,0.245161
664,444,414,442,1275,302.644308
662,443,413,300,1275,302.644308
662,442,414,447,1275,302.644308
661,441,412,444,300,-1
660,441,415,436,300,471.990298
657,437,413,444,300,471.990298
658,439,412,439,300,-1
658,439,416,430,300,471.990298
656,437,409,431,300,-1
656,437,406,436,300,471.990298
656,432,408,433,300,-1
652,433,405,433,300,471.990298
651,431,402,434,300,471.990298
650,432,402,436,300,-1
649,426,400,436,300,471.990298
647,426,400,441,300,-1
646,425,397,442,300,471.990298
643,421,397,300,300,471.990298
642,420,400,441,300,-1
642,418,401,443,300,-1
639,417,399,300,300,-1
639,416,401,446,300,-1
636,413,403,300,300,-1
630,410,401,446,300,885.059122
629,407,404,448,1277,927.934341
618,402,404,300,1277,-1
618,396,408,448,1277,970.46706
614,395,411,453,1285,1017.275473
607,396,411,457,1285,-1
599,397,411,458,1285,1059.472065
584,402,300,455,1285,1102.317135
566,402,417,464,1285,1146.456105
566,402,418,465,1285,-1
566,405,420,463,1283,1197.975328
568,405,421,300,1283,1254.913214
570,410,423,476,1283,-1
570,411,426,470,1288,1315.731759
571,414,428,477,1288,1369.213204
571,414,431,478,1288,-1
576,417,434,476,1290,1417.955821
577,418,437,479,1290,1466.269322
577,421,439,477,1290,-1
576,424,441,478,1282,1517.154086
582,427,442,482,1282,1556.932867
581,428,444,483,1282,1599.051469
581,432,446,484,1279,-1
585,438,449,484,1279,-1
584,438,450,489,1279,1695.537328
588,443,456,300,1292,-1
591,443,455,486,,-1
592,444,456,300,,-1
599,447,459,300,,1844.545905
595,451,458,300,,-1
599,454,459,488,,1888.841709
603,461,460,300,,-1
606,466,458,300,,-1
614,470,458,300,,2015.412307
620,477,459,300,,-1
623,484,460,487,,-1
628,483,458,300,,-1
638,484,458,485,,2207.13242
650,482,458,300,,-1
663,483,456,300,,2258.774683
677,482,457,485,,2313.113118
683,484,460,488,,2359.924831
684,485,459,485,,-1
684,483,458,488,,2411.21174
683,485,460,300,,2461.725028
681,484,459,300,,2516.627597
685,483,460,300,,-1
683,485,459,487,,2573.137147
685,483,461,300,,-1
686,486,459,489,,2641.354802
689,483,459,486,,2695.891315
688,483,460,487,,-1
684,484,461,487,,2758.744408
685,484,458,300,,2814.32066
686,483,459,300,,-1
687,484,459,300,,2883.329287
685,485,461,493,,2937.786526
685,484,461,493,,2991.650835
684,484,461,488,,-1
682,484,461,489,,3054.404963
